학생,답안,거듭제곱의 곱셈,거듭제곱의 나눗셈2,단위의 이해,거듭제곱의 나눗셈1,수의 나눗셈,정오답,등호 오류,식 오류,단위 혼동,나눗셈 괄호 오류
1,,0,0,0,0,0,0,0,0,0,0
2,36MB = 2^2 \times 3^2 MB \\ 1MB = 2^10 KB \\ 2^2 \times 3^2 MB = 2^12 \times 3^2 KB \\ 1KB = 2^10B \\ 2^12 \times 3^2 KB = 2^22 \times 3^2 B  1초당 = 9 \times 2^20 B 자료 = 2^20 \times 2^2 \times 9B \\ 2초,1,0,1,0,0,0,0,0,0,0
3,,0,0,0,0,0,0,0,0,0,0
4,36 = 2^2 \times 3^2 \\ 1MB = 2^20 B \\ 36MB = 9 \times 2^22 B \\ 1초당 : 9 \times 2^20 B 다운 \\ { 9 \times 2^22 }/{ 9 \times 2^20 } = 2^2 \\ 4초,1,1,1,0,0,1,0,0,0,0
5,"36MB = 72^10KB이고, 1초당 내려받는 자료가 9 \times 2^20 B = 18^20KB이다. 따라서 4 \times 18^20 B = 72^20 KB이므로 4초가 걸린다  ",0,0,0,0,0,1,0,1,0,0
6,"( 찬혁이가 자료를 모두 내려받는 데 걸리는 시간 ) = 자료의 용량/컴퓨터에서 1초당 내려받을 수 있는 자료의 용량  따라서 36MB/9 \times 2^20B 이고, 단위를 통일하면 36MB = (2^2 \times 3^2 \times 2^10 \times 2^10 ) B = 9 \times 2^22 B이다. 따라서 { 9 \times 2^22 }/{9 \times 2^20 }이므로 약분하면 2^2초  4초 ",1,1,1,0,0,1,0,0,0,0
7,,0,0,0,0,0,0,0,0,0,0
8,9,0,0,0,0,0,0,0,0,0,0
9,,,,,,,,,,,
10,72^17 \\ 72^17 \\ 72^17 2^10 \\ 144^20 \\ \div 9 = 16 \\ 16,0,0,0,0,0,0,0,0,0,0
11,36MB = 36 \times 2^10 = 36 \times 2^10 \times 2^10 \\ (9 \times 2^22)B \div (9 \times 2^20) = 2^2 \\ 2^2 = 4,1,1,1,0,0,1,0,0,0,0
12,2^10 \times 36 = 2^10 \times 2^2 \times 3^2 = 2^12 \times 3^2 \\ 2^12 \times 3^2 = 3^2 \times 2^20 = 2^8 = 256  답: 256초,0,0,0,0,0,0,0,0,0,0
13,,,,,,,,,,,
14,9 \times 2^20 \div 2^10 \div 2^10 \times x = 36 \\ { { 9 \times 2^20 }/2^{ 10 + 10 } }x = { { 9 \times 2^20 }/2^20 }x = 9x = 36 \\ x = 4 \\ x = 내려받는시간,1,1,1,0,0,1,0,0,0,0
15,36 \div 2^10 = { 2^2 \times 3^2 }/2^10 = 3^2/2^8 \times 1/2^10 \\ 3^2/2^18 ( 3^2 \times 2^20) \\ 34/2^18 \times 2^20 = 2^2 \times 3^4 = 324초,0,0,0,0,0,0,0,0,0,0
16,1KB = 2^10B \\ 1MB = 2^10KB \\ 1MB = 2^20B \\ 2^10 \times 2^10 = 2^20 \\ 2^20 \times 36 = 2^20 \times 2^2 \times 3^2 = 2^22 \times 3^2 \\ { 2^22 \times 3^2 }/{ 2^20 \times 3^2 } = 4 \\ 4초,1,1,1,0,0,1,0,0,0,0
17,2^10 \times 2^10 \times 2^4 \times 3^2 = 2^24 \times 3^2 \\ 2^24 \times 3^2 \div { 3^2 \times 2^20 } = { 2^24 \times 3^2 }/{ 2^20 \times 3^2 } = 2^4 \\16초,0,1,1,0,0,0,0,0,0,0
18,2^10 \times 2^10 = { 2^20 \times 36 }/{ 2^20 \times 9 } = 4초,1,1,1,0,0,1,1,0,0,0
19,,0,0,0,0,0,0,0,0,0,0
20,,,,,,,,,,,
21,36MB = 36( 2^10KB ) \\ 36 = A \\ 36( 2^10KB ) = A2^10KB \\ A2^10KB = 2^10B \times A2^10B = 2^2 \times 3^2 \times 2^20B \\ {2^2 \times 3^2 \times 2^20 B}/{ 3^2 \times 2^20 B} = 4  답: 4초,1,1,1,0,0,1,0,1,0,0
22,1KB = 2^10B \\ 1MB = 2^10KB,0,0,1,0,0,0,0,0,0,0
23,,0,0,0,0,0,0,0,0,0,0
24,1KB = 2^10B \\ 1MB = 2^10KB  용량 36MB \\ 1초당 9 \times 2^20B이기에 \left (2^10KB \right )^36 = 2^360(K^36)(B^36) \\ 2^360(K^36)(B^36) \div 9 \times 2^20B = 9 \times 2^18(K^36)(B^17)초,0,0,1,0,0,0,0,1,0,0
25,2^10 \times 2^10 = 2^20 \\ 36 \times 2^20 \div 9 \times 2^20 = { 36 \times 2^20 }/{ 9 \times 2^20 } = 4초,1,1,1,0,0,1,0,0,0,0
26,72^10KB = 144^10B,0,0,0,0,0,0,0,0,0,0
27,,0,0,0,0,0,0,0,0,0,0
28,2^10B = 1초 \\ 2^20B = 2초 \\ 9 \times 2^20B = 18초 \\ 18초,0,0,0,0,0,0,0,0,0,0
29,,0,0,0,0,0,0,0,0,0,0
30,약 31초,0,0,0,0,0,0,0,0,0,0
31,36MB = 2^2 \times 3^2 \times 2^10 = 2^12 \times 3^2 \\ 36MB = (2^12)(3^2)KB  2^12 \times 3^2KB = 2^10 \times 2^12 \times 3^2 = 2^12 \times 3^2KB = 2^22 \times 3^2B \\ 2^22 \times 3^2B \div 3^2 \times 2^20 = 2^2 \\ 4초,1,1,1,0,0,1,0,0,0,0
32,,0,0,0,0,0,0,0,0,0,0
