학생,답안,등식의 성질,(다항식)x(단항식),단항식의 곱셈,(다항식)÷(단항식),단항식의 나눗셈,정오답,등호 오류
1,,,,,,,,
2,A \div 3y/2 = 4x^{2}y + 2xy + 6 \\ A \times 2/3y = 4x^{2}y + 2xy + 6 \\ A = ( 4x^{2}y + 2xy + 6 ) \times 3y/2 A = 6x^{2}y^{2} + 3xy^{2} + 9y,1,1,1,0,0,1,0
3,A \div 3y/2 = 4x^2y + 2xy + 6 =  6x^{2}y^{2} + 3xy^{2} + 9y,0,0,0,1,1,1,1
4,A \div 3y/2 = 4x^{2}y + 2xy + 6 \\ A = ( 4x^{2}y + 2xy + 6 ) \times 3y/2 =  6x^{2}y^{2} + 3xy^{2} + 9y,1,1,1,0,0,1,0
5,,,,,,,,
6,A \div 3y/2 = 4x^{2}y + 2xy + 6  \\ A = ( 4x^{2}y + 2xy + 6 ) \times 3y/2 는 곱셈의 분배법칙을 이용하여 4x^{2}y \times 3y/2 + 2xy \times 3y/2 + 6 \times 3y/2 이다. \\ 나머지 식을 풀면 6x^{2}y^{2} + 3xy^{2} + 9y 이다.,1,1,1,0,0,1,0
7,,,,,,,,
8,A \div 3y/2 = 4x^{2}y + 2xy + 6 \\ A = ( 4x^{2}y + 2xy + 6 ) \times 3y/2 \\ A = 6x^{2}y^{2} + 3xy^{2} + 9y,1,1,1,0,0,1,0
9,,,,,,,,
10,A \div 3y/2 = 4x^{2}y + 2xy + 6 \\ A = 6x^{2}y + 3xy^{2} + 4/y,0,0,0,0,0,0,0
11,A \div 3y/2 = 4x^{2}y + 2xy + 6 \\ A = 6x^{2}y^{2} + 3xy^{2} + 9y,1,0,0,1,1,1,0
12,A \div 3y/2 = 4x^{2}y + 2xy + 6 \\ A = ( 4x^{2}y + 2xy + 6 ) \times 2/3y \\ A = 8x^{2}/3 + 4x/3 + 4y,0,1,1,0,0,0,0
13,,,,,,,,
14,A \times 2/3y = 4x^{2}y + 2xy + 6 \\ A = ( 4x^{2}y + 2xy + 6 ) \times 3y/2 = 6x^{2}y^{2} + 3xy^{2} + 9y,1,1,1,0,0,1,0
15,A \div 3y/2 = 4x^{2}y + 2xy + 6 \\ A \times 2/3y = 4x^{2}y + 2xy + 6 \\ 6x^{2}y^{2} + 3xy^{2} + 9y,1,1,1,0,0,1,0
16,A \div 3y/2 = 4x^{2}y + 2xy + 6 \\ A \times 2/3y = 4x^{2}y + 2xy + 6 \\ A = 4x^{2}y \times 3y/2 + 2xy \times 3y/2 + 6 \times 3y/2 \\ A = 6x^{2}y^{2} + 3xy^{2} + 9y,1,1,1,0,0,1,0
17,A \div 3y/2 = 4x^{2}y + 2xy + 6 \\ A \times 2/3y = 4x^{2}y + 2xy + 6 \\ A \times 2 = 12x^{2}y^{2} + 6xy^{2} + 18y \\ A = 6x^{2}y^{2} + 3xy^{2} + 9y,1,1,1,0,1,1,0
18,,,,,,,,
19,,,,,,,,
20,,,,,,,,
21,A \div 3y/2 = 4x^{2}y + 2xy + 6 \\ A = 3y/2 \times (  4x^{2}y + 2xy + 6 ) = 6x^{2}y^{2} + 3xy^{2} + 9y,1,1,1,0,0,1,0
22,A \div 3y/2 = 4x^{2}y + 2xy + 6 \\ A =  4x^{2}y + 2xy + 6 \times 3y/2 \\ A = 6x^{2}y^{2} + 3xy^{2} + 9y,1,1,1,0,0,1,0
23,A \div 3y/2 = 4x^{2}y + 2xy + 6 \\ A =  4x^{2}y + 2xy + 6 \times 2/3y \\ A = 8x^{2}/3 + 4x/3 + 4/y,0,1,1,0,0,0,0
24,A \div 3y/2 = 4x^{2}y + 2xy + 6 \\ 4x^{2}y + 2xy + 6 \times 2y/3 A = 8x^{2}/3 + 4x/3 + 4/y,0,1,1,0,0,0,0
25, A = ( 4x^{2}y + 2xy + 6 ) \times 3y/2 = 6x^{2}y^{2} + 3xy^{2} + 9y,1,1,1,0,0,1,0
26,,,,,,,,
27,,,,,,,,
28,A \div 3y/2 = 4x^{2}y + 2xy + 6 \\ A = 4x^{2}y \times 3y/2 + 2xy \times 3y/2 + 6 \times 3y/2 \\ A = 6x^{2}y^{2} + 3xy^{2} + 9y,1,1,1,0,0,1,0
29,A = ( 4x^{2}y + 2xy + 6 ) \times 3y/2 A = 6x^{2}y^{2} + 3xy^{2} + 9y,1,1,1,0,0,1,0
30,12x^{2}y^{2} + 6xy^{2} + 6,0,0,0,0,0,0,0
31,A \times 2/3y = 4x^{2}y + 2xy + 6 \\ A = ( 4x^{2}y + 2xy + 6 ) \times 3y/2 \\ A = 4x^{2}y \times 3y/2 + 2xy \times 3y/2 + 6 \times 3y/2 \\ A = 6x^{2}y^{2} + 3xy^{2} + 9y,1,1,1,0,0,1,0
32, A \times 2/3y = 4x^{2}y + 2xy + 6 \\ A = 4x^{2}y \times 3y/2 + 2xy \times 3y/2 + 6 \times 3y/2 \\ A = 6x^{2}y^{2} + 3xy^{2} + 9y,1,1,1,0,0,1,0
33,,,,,,,,
34,A \div 3y/2 = 4x^{2}y + 2xy + 6,0,0,0,0,0,0,0
35,,,,,,,,
36,,,,,,,,
37,A \div 3y/2 = 4x^{2}y + 2xy + 6 \\ A \times 2/3y = 4x^{2}y + 2xy + 6 \\ A = 6x^{2}y^{2} + 3xy^{2} + 9y,1,1,1,0,0,1,0
38,,,,,,,,
39,,,,,,,,
40,2A/3y = 4x^{2}y + 2xy + 6 2/3y 의 역수인 3y/2 를 모두 곱한다. \\ A = 6x^{2}y^{2} + 3xy^{2} + 9y,1,1,1,0,0,1,0
41,A \div 3y/2 = 4x^{2}y + 2xy + 6 ->  A = 3y/2 \times (  4x^{2}y + 2xy + 6 ) = 6x^{2}y^{2} + 3xy^{2} + 9y,1,1,1,0,0,1,0
42,2A/3y = 4x^{2}y + 2xy + 6 \\ A = 6x^{2}y^{2} + 3xy^{2} + 9y,1,0,0,1,1,1,0
43,A \div 3y/2 = A \times 2/3y = 4x^{2}y + 2xy + 6 \\ ( 4x^{2}y + 2xy + 6 ) \times 3y/2  = 6x^{2}y^{2} + 3xy^{2} + 9y,1,1,1,0,0,1,0
44,A \div 3y/2 = 4x^{2}y + 2xy + 6 \\ A \div \square = x \\ x \times \square = A  \\ ( 4x^{2}y + 2xy + 6 ) \times 3y/2 = 6x^{2}y^{2} + 3xy^{2} + 9y,1,1,1,0,0,1,0
45,A = ( 4x^{2}y + 2xy + 6 ) \times 3y/2 = 6x^{2}y^{2} + 3xy^{2} + 9y,1,1,1,0,0,1,0
46,A = ( 4x^{2}y + 2xy + 6 ) \times 3y/2 A = 6x^{2}y^{2} + 3xy^{2} + 9y,1,1,1,0,0,1,0
47,A \times 2/3y = 4x^{2}y + 2xy + 6 \\ A =  4x^{2}y + 2xy + 6 \times 3y/2 \\ A =  2x^{2}y^{2} + xy^{2} + 4y \\ A \times 6 = 12 \\ A = 12 \div 6,1,0,0,0,0,0,0
48,A \times 2/3y = 4x^{2}y + 2xy + 6 \\ 4x^{2}y = A \times 2/3y A = 6x^{2}y^{2} \\ A \times 2/3y = 6 A = 9y \\ 2xy = A \times 2/3y \\ A = 3xy^2 6x^{2}y^{2} + 3xy^{2} + 9y,1,1,1,0,0,1,0
49,A = ( 4x^{2}y + 2xy + 6 ) \times 3y/2 \\ A = ( 2x^{2}y + xy + 3 ) \times 3y \\ A = 6x^{2}y^{2} + 3xy^{2} + 9y,1,1,1,0,0,1,0
50,,,,,,,,
51,,,,,,,,
52,A \div 3y/2 = 4x^{2}y + 2xy + 6 = A \times 2/3y = 4x^{2}y + 2xy + 6 \\ A = ( 4x^{2}y + 2xy + 6 ) \times 3y/2 \\ A = 6x^{2}y^{2} + 3xy^{2} + 9y,1,1,1,0,0,1,0
53,A \div 3y/2 = 4x^{2}y + 2xy + 6 는 A \times 2/3y = 4x^{2}y + 2xy + 6 3y/2 를 곱하면 A = ( 4x^{2}y + 2xy + 6 ) \times 3y/2 \\ A = 6x^{2}y^{2} + 3xy^{2} + 9y,1,1,1,0,0,1,0
54, 4x^{2}y + 2xy + 6 \times 3/2y = ( 12x^{2}y + 6xy + 18 ) \div 2y = 6x^{2} + 3x + 9/y,0,1,1,0,0,0,0
55,,,,,,,,
56, 4x^{2}y + 2xy + 6 \times 3/2y = 6x^{2}y^{2} + 3xy^{2} + 9y,1,1,1,0,0,1,0
57,,,,,,,,
58,A \div 3y/2 = 4x^{2}y + 2xy + 6 \\ A = ( 4x^{2}y + 2xy + 6 ) \times 3y/2 = 6x^{2}y^{2} + 3xy^{2} + 9y,1,1,1,0,0,1,0
59,A \times 2/3y = 4x^{2}y + 2xy + 6 \\ A = ( 4x^{2}y + 2xy + 6 ) \times 3y/2 = 6x^{2}y^{2} + 3xy^{2} + 9y,1,1,1,0,0,1,0
60,8x^{2}/3 + 4x/3 + 2/y,0,0,0,0,0,0,0
61,A \div 3y/2 = 4x^{2}y + 2xy + 6 \\ A = ( 4x^{2}y + 2xy + 6 ) \times 3y/2 \\ A = 6x^{2}y^{2} + 3xy^{2} + 9y,1,1,1,0,0,1,0
62,A = 6x^{2}y^{2} + 3xy^{2} + 9y,1,1,1,0,0,1,0
63,8x^{2}/3 + 4x/3 + 4/y,0,0,0,0,0,0,0
64, A = ( 4x^{2}y + 2xy + 6 ) \times 3y/2 = 6x^{2}y^{2} + 3xy^{2} + 9y,1,1,1,0,0,1,0
65,,,,,,,,
66,A \div 3y/2 = 4x^{2}y + 2xy + 6 = 3y/2 \div 4x^{2}y + 2xy + 6 = 8x^{2}y + 2xy + 2 = 10x^{3y} + 2,0,0,0,0,0,0,0
67,A \div 3y/2 = 4x^{2}y + 2xy + 6 \\ A \times 2/3y = 4x^{2}y + 2xy + 6 \\ A = 6x^{2}y^{2} + 3xy^{2} + 9y,1,1,1,0,0,1,0
68,A \div 3y/2 = 4x^{2}y + 2xy + 6 \\ A = 2y/3 + 4x^{2}y + 2xy + 6,0,0,0,0,0,0,0
69,,,,,,,,
70,,,,,,,,
71,,,,,,,,
72,A \times 2/3y = 4x^{2}y + 2xy + 6 \\ A = ( 4x^{2}y + 2xy + 6 ) 3y/2 = 6x^{2}y^{2} + 3xy^{2} + 9y,1,1,1,0,0,1,0
73,,,,,,,,
74,A \div 3y/2 \times 3y/2 = ( 4x^{2}y + 2xy + 6 ) \times 3y/2 \\ A = 6x^{2}y^{2} + 3xy^{2} + 9y,1,1,1,0,0,1,0
75,A \div 3y/2 = 4x^{2}y + 2xy + 6 \\ A = ( 4x^{2}y \times 2/3y ) + ( 2xy \times 2/3y ) + (6 \times 2/3y ) = 8x^{2}/3 + 4x/3 + 4/y,0,1,1,0,0,0,0
76,A = ( 4x^{2}y + 2xy + 6 ) \times 3y/2 6x^{2} + 3x + 9y,1,0,1,0,0,0,0
77,A \div 3y/2 = 4x^{2}y + 2xy + 6 \\ A = 3y/2 ( 4x^{2}y + 2xy + 6 ) =  6x^{2}y^{2} + 3xy^{2} + 9y,1,1,1,0,0,1,0
78,A \div 3y/2 = 4x^{2}y + 2xy + 6 \\ A \times 2/3y= 4x^{2}y + 2xy + 6 \\ A = ( 4x^{2}y + 2xy + 6 ) 3y/2 \\ A = 6x^{2}y^{2} + 3xy^{2} + 9y,1,1,1,0,0,1,0
79,A \times 2/3y= 4x^{2}y + 2xy + 6 \\ A = 6x^{2}y^{2} + 3xy^{2} + 9y,1,1,1,0,0,1,0
80,A \div 3y/2 = 4x^{2}y + 2xy + 6 \\ 2 ( 4x^{2}y + 2xy + 6 ) \div 3y = ( 8x^{2}y + 4xy + 12 ) \div 3y = 8x^{2}/3 + 4x/3 + 4/3,0,0,0,1,1,0,0
81,,,,,,,,
82,A \div 3y/2 = 4x^{2}y + 2xy + 6 \\ A \times 2/3y= 4x^{2}y + 2xy + 6 \\ A = 6x^{2}y^{2} + 3xy^{2} + 9y,1,1,1,0,0,1,0
83,6x^{2}y^{2} + 3xy^{2} + 9,1,1,1,0,0,1,0
84,A \div 3y/2 = 4x^{2}y + 2xy + 6 \\ A \times 2/3y= 4x^{2}y + 2xy + 6 \\ A = ( 4x^{2}y + 2xy + 6 ) \times 3y/2 \\ A = 6x^{2}y^{2} + 3xy^{2} + 9,1,1,1,0,0,1,0
85,A \div 3y/2 = 4x^{2}y + 2xy + 6 \\ A = ( 4x^{2}y + 2xy + 6 ) \times 3y/2 = 6x^{2}y^{2} + 3xy^{2} + 9y,1,1,1,0,0,1,0
